symbol,exchange,name,research_rank,tier,recommended_stage,suggested_cycle,reason,tier_comment
CU0,SHFE,铜连续,16,A,第三批扩展,,有色最适合新手先研究的品种之一，容量和趋势都较好。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
AL0,SHFE,铝连续,17,A,第三批扩展,,有色里相对稳健，适合在铜之后扩展。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
ZN0,SHFE,沪锌连续,18,A,第三批扩展,,有色核心补充，适合组合分散。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
AU0,SHFE,黄金连续,19,B,第三批扩展,,贵金属核心品种，受宏观驱动强，适合后续扩展。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
AG0,SHFE,白银连续,20,B,第三批扩展,,波动较黄金更大，适合作为第二批贵金属研究。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
FU0,SHFE,燃料油连续,21,B,第三批扩展,,能化品种，趋势可做，但受外部能源链影响更明显。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
BU0,SHFE,沥青连续,22,B,第三批扩展,,沥青有研究价值，但节奏较化工基础品种更复杂。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
SC0,INE,上海原油连续,23,B,第三批扩展,,原油研究价值高，但外盘与事件驱动更强，放在第二批后段。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
LU0,INE,低硫燃料油连续,24,B,第三批扩展,,低硫燃料油，和能源链相关性强，后续再研究。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
RU0,SHFE,天然橡胶连续,25,B,第三批扩展,,橡胶老牌品种，趋势可做，但节奏更曲折。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
BR0,SHFE,丁二烯橡胶连续,26,B,后续扩展/观察,,丁二烯橡胶，适合作为橡胶链扩展标的。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
NR0,INE,20号胶连续,27,B,后续扩展/观察,,20号胶，可研究但对新手不是最优起点。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
CF0,CZCE,棉花连续,28,B,后续扩展/观察,,棉花有周期逻辑，但节奏比豆粕更复杂。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
SR0,CZCE,白糖连续,29,B,后续扩展/观察,,白糖长期有研究价值，适合作为第二批农产品。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
C0,DCE,玉米连续,30,B,后续扩展/观察,,玉米较稳，适合做农产品扩展。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
CS0,DCE,淀粉连续,31,B,后续扩展/观察,,淀粉可做但通常排在玉米之后。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
A0,DCE,豆一连续,32,B,后续扩展/观察,,豆一可作为豆类扩展研究。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
B0,DCE,豆二连续,33,B,后续扩展/观察,,豆二适合作为油脂油料链补充。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
RM0,CZCE,菜粕连续,34,B,后续扩展/观察,,菜粕适合做农产品板块扩展。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
PG0,DCE,液化石油气连续,35,B,后续扩展/观察,,LPG有研究价值，但受能源与季节影响较强。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
EB0,DCE,苯乙烯连续,36,B,后续扩展/观察,,苯乙烯可研究，但放在核心化工品种之后。,第二批研究。整体可做，但节奏、外盘影响或波动特征更复杂，建议在A档跑通后扩展。
FG0,CZCE,玻璃连续,37,C,后续扩展/观察,,玻璃很活跃，但波动和情绪驱动偏强，不建议太早实盘。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
SA0,CZCE,纯碱连续,38,C,后续扩展/观察,,纯碱活跃但容易阶段性很妖，适合后置。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
SH0,CZCE,烧碱连续,39,C,后续扩展/观察,,烧碱新一些，先观测再做。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
UR0,CZCE,尿素连续,40,C,后续扩展/观察,,尿素受政策与现货影响较大，建议后置。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
PX0,CZCE,对二甲苯连续,41,C,后续扩展/观察,,对二甲苯可研究，但优先级低于TA/MA/EG。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
PF0,CZCE,短纤连续,42,C,后续扩展/观察,,短纤更适合作为产业链补充。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
PK0,CZCE,花生连续,43,C,后续扩展/观察,,花生研究资料与容量相对一般，先后置。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
AO0,SHFE,氧化铝连续,44,C,后续扩展/观察,,氧化铝阶段波动大，先观察。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
SS0,SHFE,不锈钢连续,45,C,后续扩展/观察,,不锈钢可研究，但优先级低于铜铝锌。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
SP0,SHFE,纸浆连续,46,C,后续扩展/观察,,纸浆有研究价值，但节奏不如A档稳。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
BC0,INE,国际铜连续,47,C,后续扩展/观察,,国际铜优先级低于沪铜主连续。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
CJ0,CZCE,红枣连续,48,C,后续扩展/观察,,红枣容易受事件和季节扰动影响，新手后置。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
AP0,CZCE,苹果连续,49,C,后续扩展/观察,,苹果具有特色但波动和题材性强，后置。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
JD0,DCE,鸡蛋连续,50,C,后续扩展/观察,,鸡蛋基本面特殊，波动节奏不够友好。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
LH0,DCE,生猪连续,51,C,后续扩展/观察,,生猪制度和波动特征特殊，新手不建议早做。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
SN0,SHFE,锡连续,52,C,后续扩展/观察,,锡波动和消息驱动较强，新手后置。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
NI0,SHFE,镍连续,53,C,后续扩展/观察,,镍容易受事件冲击，回撤控制难度大。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
PB0,SHFE,铅连续,54,C,后续扩展/观察,,铅研究价值有，但优先级低于核心有色。,可研究但不建议太早实盘。更容易受政策、产业或阶段性波动影响，回测到实盘偏差可能更大。
SF0,CZCE,硅铁连续,55,D,后续扩展/观察,,硅铁更适合作为后置观测品种。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
SM0,CZCE,锰硅连续,56,D,后续扩展/观察,,锰硅同样偏后置，适合成熟后再研究。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
BZ0,DCE,纯苯连续,57,D,后续扩展/观察,,纯苯新、特征仍需长期观察。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
PL0,CZCE,丙烯连续,58,D,后续扩展/观察,,丙烯优先级较低，后置。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
PR0,CZCE,瓶片连续,59,D,后续扩展/观察,,瓶片后置，先做更成熟化工品种。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
CY0,CZCE,棉纱连续,60,D,后续扩展/观察,,棉纱流动性和趋势研究优先级较低。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
RS0,CZCE,菜籽连续,61,D,后续扩展/观察,,菜籽较后置，先做油脂油料主流品种。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
RR0,DCE,粳米连续,62,D,后续扩展/观察,,粳米适合作为观测，不作为新手起步品种。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
LG0,DCE,原木连续,63,D,后续扩展/观察,,原木新品种，先观察市场结构稳定性。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
OP0,SHFE,胶版印刷纸连续,64,D,后续扩展/观察,,胶版印刷纸新品种，先观察。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
AD0,SHFE,铸造铝合金连续,65,D,后续扩展/观察,,铸造铝合金新品种，先观察。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
FB0,DCE,纤维板连续,66,D,后续扩展/观察,,纤维板流动性和研究优先级都较低。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
JR0,CZCE,粳稻连续,67,D,后续扩展/观察,,粳稻较后置，不适合CTA起步。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
LR0,CZCE,晚籼稻连续,68,D,后续扩展/观察,,晚籼稻较后置。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
RI0,CZCE,早籼稻连续,69,D,后续扩展/观察,,早籼稻较后置。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
WH0,CZCE,强麦连续,70,D,后续扩展/观察,,强麦较后置，先不作为重点。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
EC0,INE,集运指数欧线期货连续,71,D,后续扩展/观察,,欧线集运事件驱动和制度特征强，不适合新手早期。,后置研究/观测为主。对新手来说流动性、产业特殊性或噪音问题更明显，不适合作为起步品种。
